subject,xmin,xmax,ymin,ymax,zmin,zmax,surface_area,cg_x,cg_y,cg_z,density,mass,volume,cg_inert_tensor_x,cg_inert_tensor_y,cg_inert_tensor_z,HORZ_DIAMETER,VERT_DIAMETER,TUBE_LENGTH
capsule,-1010.0000000000032,1009.9999999999968,-100.00000000000037,99.99999999999964,-82.44341139178674,82.44341139178674,915506.7063017089,-424.9999751672852,0.0,5.207807394093472,1.55e-06,2.091118140758229,1349108.4779085347,7775.195832062509,176581.75776756872,173677.8891432236,100,160,850

capsule,-1060.0000000000014,1059.9999999999984,-100.0000000000001,99.9999999999999,-82.56273367565433,82.56273367565433,961907.2718532045,-450.0000402146161,0.0,5.2157795876291635,1.55e-06,2.1967208899211896,1417239.2838201225,8183.452839732734,204091.84975914276,201036.84218552505,100,160,900

capsule,-1109.999999999997,1110.0000000000027,-100.00000000000023,99.99999999999979,-82.68190592833996,82.68190592833996,1008307.8030526001,-475.00000689465855,0.0,5.223033304372672,1.55e-06,2.302324108939216,1485370.3928640103,8591.711110780674,234347.94019442747,231141.7934634199,100,160,950

capsule,-280.00000000000006,279.9999999999999,-100.0000000000001,99.9999999999999,-90.74583852998876,90.74583852998876,249714.49524767132,-50.00000000544355,0.0,4.689645980863781,1.55e-06,0.5763176997293702,371817.87079314206,2208.772855922176,4915.993346081134,3887.678249199339,100,180,100

capsule,-330.0000000000002,329.99999999999983,-99.99999999999993,100.00000000000007,-90.8555740985957,90.8555740985957,299283.00029887806,-75.00000343015286,0.0,4.813926527874789,1.55e-06,0.6890169624366914,444527.07253980095,2724.3089078209887,7548.245689486911,6287.330173691821,100,180,150

capsule,-380.0000000000008,379.9999999999992,-100.00000000000003,99.99999999999997,-90.96775062405291,90.96775062405291,348850.97229932906,-99.99999995171954,0.0,4.904337131146967,1.55e-06,0.8017356665527499,517248.8171308064,3239.884456283389,11041.829514629831,9548.303333041738,100,180,200

capsule,-429.99999999999955,430.00000000000045,-100.00000000000004,99.99999999999996,-91.08160861380743,91.08160861380743,398379.08678752446,-125.00000128012833,0.0,4.9608783501479925,1.55e-06,0.9154091061215363,590586.5200784105,3759.7395729445698,15557.694975137529,13828.892709622562,100,180,250

capsule,-480.0000000000004,479.9999999999996,-100.00000000000021,99.99999999999979,-91.19666803482218,91.19666803482218,447941.61117297196,-150.00000127645404,0.0,5.013546023257149,1.55e-06,1.028211818574331,663362.4635963426,4275.831096239921,21203.207705766683,19241.39603187816,100,180,300

capsule,-530.0000000000007,529.9999999999994,-100.00000000000003,99.99999999999997,-91.31261287202707,91.31261287202707,497504.1874465192,-174.9999922103386,0.0,5.05575516107848,1.55e-06,1.1410138084686596,736137.9409475224,4791.915603361787,28133.984539944926,25939.166605081973,100,180,350

capsule,-580.0000000000003,579.9999999999998,-100.0000000000003,99.9999999999997,-91.42922758223574,91.42922758223574,547066.3498360561,-199.999996180397,0.0,5.090535516470476,1.55e-06,1.2538208788075178,808916.6960048502,5308.012480905327,36491.087688855114,34063.26179118223,100,180,400

capsule,-630.0000000000006,629.9999999999995,-100.00000000000026,99.99999999999974,-91.54636057322307,91.54636057322307,596628.8422618494,-224.9999980946148,0.0,5.1194962587336565,1.55e-06,1.3666252373163887,881693.7014944444,5824.0990034121505,46415.43364927248,43754.605979581014,100,180,450

capsule,-680.0000000000009,679.999999999999,-99.99999999999989,100.00000000000011,-91.6639023588871,91.6639023588871,646191.4590343981,-249.99999981920834,0.0,5.143927600332667,1.55e-06,1.4794256627519837,954468.1695174088,6340.172191310642,58047.94579463956,55154.12225751994,100,180,500

capsule,-730.0000000000009,729.9999999999991,-100.00000000000017,99.99999999999984,-91.78177201359325,91.78177201359325,695753.9287737048,-275.0000000689814,0.0,5.165000271625839,1.55e-06,1.5922300850641924,1027245.2161704467,6856.255597930456,71529.8462949836,68403.02359615378,100,180,550

capsule,-780.0000000000002,779.9999999999998,-100.00000000000024,99.99999999999977,-91.89990849833474,91.89990849833474,745316.3473960895,-299.9999779166273,0.0,5.18333257403517,1.55e-06,1.7050326855462108,1100021.0874491683,7372.32944313255,87002.00453145464,83642.19102931628,100,180,600

capsule,-830.0000000000015,829.9999999999984,-100.00000000000018,99.99999999999982,-92.01826494529976,92.01826494529976,794878.8040496003,-325.00001764821496,0.0,5.199379380404089,1.55e-06,1.8178376431835772,1172798.4794732756,7888.411945580172,104605.54117060281,101012.73002278547,100,180,650

capsule,-880.0000000000008,879.9999999999992,-100.00000000000016,99.99999999999986,-92.13680479455554,92.13680479455554,844394.3089808617,-349.9999999520562,0.0,5.208623659226889,1.55e-06,1.9304810941663693,1245471.673655722,8402.174711246782,124465.94449294228,120643.8827273595,100,180,700

capsule,-930.000000000001,929.999999999999,-99.99999999999989,100.00000000000013,-92.25549912247507,92.25549912247507,893953.1047253929,-375.0000069042424,0.0,5.221105113447504,1.55e-06,2.043274353739778,1318241.5185417924,8918.107479480033,146752.93347509566,142698.0814557912,100,180,750

capsule,-980.0000000000034,979.9999999999966,-100.00000000000006,99.99999999999994,-90.11783685250187,90.11783685250187,943511.8410432396,-400.0000062535346,0.0,5.232318644567102,1.55e-06,2.1560689789788774,1391012.2445025016,9434.044202927962,171594.05637825318,167306.41074353637,100,180,800

capsule,-1030.0000000000007,1029.9999999999993,-100.0,100.00000000000001,-92.49326291775373,92.49326291775373,993070.5723419744,-425.000005735044,0.0,5.242416404768417,1.55e-06,2.268863633116188,1463782.989107218,9949.981054839618,199130.282501214,194609.8431516249,100,180,850

capsule,-1080.0000000000034,1079.9999999999966,-100.00000000000017,99.99999999999983,-92.61229823377873,92.61229823377873,1042629.3320667394,-450.0000052006298,0.0,5.251622213492823,1.55e-06,2.3816572237485314,1536553.0475796978,10465.914274964402,229502.62253893373,224749.39115159557,100,180,900

capsule,-1130.0000000000039,1129.999999999996,-100.00000000000018,99.99999999999983,-92.73141799958623,92.73141799958623,1092188.0620601117,-475.0000046456704,0.0,5.259940745991968,1.55e-06,2.4944516613984162,1609323.6525151073,10981.849862003515,262852.0347941186,257866.01061304883,100,180,950

capsule,-300.00000000000017,299.99999999999983,-100.00000000000003,99.99999999999999,-100.79631678112986,100.79631678112986,282340.6919250615,-49.99999990910131,0.0,4.590984295052342,1.55e-06,0.651683424327299,420440.91892083804,2900.0310292366426,6452.207279328155,4914.181079333274,100,200,100

capsule,-350.00000000000034,349.9999999999997,-100.00000000000003,99.99999999999999,-100.9062989357954,100.9062989357954,335170.8144168409,-74.99999832414899,0.0,4.7171146177406,1.55e-06,0.7718083691635266,497940.88333130744,3541.169849127271,9627.022973708592,7757.329069130099,100,200,150

capsule,-400.00000000000045,399.9999999999996,-100.00000000000004,99.99999999999997,-101.01854679918605,101.01854679918605,388000.7291988692,-100.00000003238324,0.0,4.8093355714397665,1.55e-06,0.8919348105206225,575441.8132391113,4182.296290438191,13766.58909913214,11565.24301587263,100,200,200

capsule,-450.0000000000006,449.99999999999943,-99.99999999999997,100.00000000000003,-101.13238653102562,101.13238653102562,440830.9582248413,-124.99998264332913,0.0,4.879426735680927,1.55e-06,1.0120567643111342,652939.8479426673,4823.394801994983,19021.02945955018,16488.053826301984,100,200,250

capsule,-499.9999999999995,500.0000000000005,-100.00000000000006,99.99999999999994,-101.24738219603074,101.24738219603074,493661.0496666077,-149.99997716913467,0.0,4.9347797077231705,1.55e-06,1.1321817268210075,730439.8237554887,5464.496310038974,25540.557815702112,22675.953118350146,100,200,300

