capsule,xmin,xmax,ymin,ymax,zmin,zmax,surface_area,cg_x,cg_y,cg_z,density,mass,volume,cg_inert_tensor_x,cg_inert_tensor_y,cg_inert_tensor_z
,-1050.000000000002,1049.9999999999982,-200.00000000000003,199.99999999999997,-152.5908917592369,152.5908917592369,1737260.8955686686,-375.0000008152935,0.0,7.63692575854226,1.55e-06,4.026133628180591,2597505.566568123,56113.67130528737,388597.5077268892,369709.90391746635
,-1100.0000000000005,1099.9999999999995,-200.0,200.0,-152.70777021752363,152.70777021752363,1822753.2259687209,-400.0000005844577,0.0,7.674237912066778,1.55e-06,4.223736861205545,2724991.523358416,59094.26146328295,444557.7954558742,424677.60337369016
,-1150.000000000001,1149.9999999999989,-200.00000000000048,199.99999999999955,-152.8249105243509,152.8249105243509,1908245.615650228,-425.00000033158454,0.0,7.708108668667897,1.55e-06,4.421345814735781,2852481.170797278,62074.90283426595,505798.1341642944,484925.3303121727
,-1200.0000000000027,1199.9999999999975,-199.99999999999994,200.00000000000006,-152.94228139672495,152.94228139672495,1993738.1483965565,-450.000000072935,0.0,7.739207141613619,1.55e-06,4.618949269432642,2979967.2706017047,65055.488292341266,572564.9210944711,550699.5235693766
,-1250.0,1250.0,-199.99999999999983,200.00000000000017,-153.059856295512,153.059856295512,2079230.4967420604,-475.0000008847392,0.0,7.767706647790054,1.55e-06,4.816550361103664,3107451.8458733317,68036.0377126635,645105.1075878906,622247.1502061074
,-450.0000000000001,449.99999999999994,-200.00000000000014,199.99999999999986,-176.2548587359639,176.2548587359639,756674.9101712038,-50.0000000396458,0.0,5.810408378463404,1.55e-06,1.7631343681020915,1137506.0439368333,25655.577870775713,44896.22769554428,33500.17760446102
,-500.0000000000001,499.99999999999983,-200.00000000000006,199.99999999999994,-176.35954526575674,176.35954526575674,849837.6050695941,-75.00000009793919,0.0,6.06123676189743,1.55e-06,1.97911547479541,1276848.6934163936,29654.687018210487,58158.19632854826,45027.07698431445
,-549.9999999999999,550.0000000000001,-200.0,200.0,-176.46658104951408,176.46658104951408,943000.2790654798,-100.00000015217749,0.0,6.262687474978447,1.55e-06,2.195096496383563,1416191.2879893954,33653.59915988309,73893.86990249748,59027.876032025946
,-600.0000000000003,599.9999999999997,-200.00000000000006,199.99999999999997,-176.5754871533901,176.5754871533901,1036162.3386551032,-125.00000023834156,0.0,6.428347530770542,1.55e-06,2.4110841670825667,1555538.1723113335,37652.45650042649,92373.4017228229,75772.60845320461
,-650.0000000000002,649.9999999999998,-200.00000000000009,199.99999999999991,-176.6859010106431,176.6859010106431,1129325.0089377195,-150.00000915570675,0.0,6.566489533984061,1.55e-06,2.6270651897806956,1694880.7676004488,41651.10912184174,113866.57957005722,95531.17177455843
,-700.0000000000007,699.9999999999994,-200.00000000000006,199.99999999999997,-176.79754468907157,176.79754468907157,1222487.8834945052,-174.99999985275417,0.0,6.6832865982364265,1.55e-06,2.8430369219182596,1834217.3689795225,45649.544398453734,138643.28090060232,118573.44616019615
,-749.9999999999998,750.0000000000001,-200.00000000000003,199.99999999999997,-176.91020247931715,176.91020247931715,1315680.4341837987,-200.0000052718701,0.0,6.778897866725809,1.55e-06,3.0608994515982966,1974773.8397408365,49681.30075018593,167100.58461031073,145275.269202259
,-800.0000000000009,799.9999999999992,-200.00000000000009,199.99999999999994,-177.0237049568733,177.0237049568733,1408847.2947287946,-225.00000633987923,0.0,6.8662935365809314,1.55e-06,3.2769828456389907,2114182.4810574134,53682.22149151071,199277.70022793955,175716.02261735377
,-850.0000000000003,849.9999999999997,-199.9999999999999,200.0000000000001,-177.1379175393182,177.1379175393182,1502013.7883919873,-250.00000734419444,0.0,6.942746171666168,1.55e-06,3.4930654745092187,2253590.628715625,57683.10311033164,235551.13560904018,210253.08892579153
,-900.0000000000013,899.9999999999989,-199.99999999999994,200.00000000000006,-177.2527321816171,177.2527321816171,1595180.431185857,-274.99998903356584,0.0,7.0103306468271045,1.55e-06,3.7091468173628015,2392997.9466856783,61683.929840091514,276190.7595195609,249156.4096678907
,-950.0000000000013,949.9999999999986,-200.00000000000023,199.99999999999977,-177.36806128041817,177.36806128041817,1688346.7224504207,-300.00019001907,0.0,7.070561288585485,1.55e-06,3.9252340483346937,2532409.063441738,65684.7951798047,321467.22135192517,292696.5380353368
,-999.999999999999,1000.000000000001,-200.0000000000001,199.9999999999999,-177.48383314881187,177.48383314881187,1781513.033916166,-324.9999887983597,0.0,7.124518946617555,1.55e-06,4.141322010247394,2671820.651772512,69685.63782823097,371650.32419996086,341143.3563256122
,-1050.000000000002,1049.9999999999982,-200.00000000000003,199.99999999999997,-177.59998861952175,177.59998861952175,1874679.9413520822,-349.9999956346451,0.0,7.172775791389353,1.55e-06,4.35739508158908,2811222.6332832775,73686.25114998338,427009.1134092063,394766.03464932437
,-1100.0000000000005,1099.9999999999995,-200.0,200.0,-177.71647846774863,177.71647846774863,1967846.645439413,-375.00001379831025,0.0,7.216767850301244,1.55e-06,4.573466593651757,2950623.608807585,77686.92397350009,487813.79411263816,453834.5065815032
